cls1,cls2,cls3,cls4,cls5,cls6,cls7,cls8,cls9,cls10,cls11,cls12,cls13,cls14,cls15,cls16,cls17,cls18,cls19,cls20
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3367.053847,3378.71878,3424.363588,3627.56484,3310.138271,3607.207929,3366.887939,3394.055918,3470.428231,3378.561135,3367.053847,3378.71878,3424.363588,3627.56484,3310.138271,3607.207929,3366.887939,3394.055918,3470.428231,3378.561135
2798.838709,2886.644451,2832.306786,2913.194212,3033.14585,2954.313068,2989.737893,3143.289071,2904.735655,3043.265513,2798.838709,2886.644451,2832.306786,2913.194212,3033.14585,2954.313068,2989.737893,3143.289071,2904.735655,3043.265513
2967.902971,3224.149714,3252.245252,3083.262334,2909.32838,2956.737161,3047.202157,3101.568903,3148.56735,3139.706103,2967.902971,3224.149714,3252.245252,3083.262334,2909.32838,2956.737161,3047.202157,3101.568903,3148.56735,3139.706103
3495.539522,3584.52274,3525.88335,3454.938344,3686.007171,3444.634591,3553.395142,3421.695728,3598.414471,3451.705253,3495.539522,3584.52274,3525.88335,3454.938344,3686.007171,3444.634591,3553.395142,3421.695728,3598.414471,3451.705253
3432.559348,3527.78153,3469.004061,3496.815424,3624.37835,3638.74328,3268.972553,3322.604681,3243.731238,3445.990243,3432.559348,3527.78153,3469.004061,3496.815424,3624.37835,3638.74328,3268.972553,3322.604681,3243.731238,3445.990243
3553.306073,3551.121072,3618.048474,3512.999525,3603.684872,3370.693146,3360.833228,3677.761743,3434.288811,3653.211612,3553.306073,3551.121072,3618.048474,3512.999525,3603.684872,3370.693146,3360.833228,3677.761743,3434.288811,3653.211612
3163.200177,3524.555905,3364.643943,3340.529689,3314.608576,3552.29212,3308.862446,3479.934502,3292.584141,3402.648136,3163.200177,3524.555905,3364.643943,3340.529689,3314.608576,3552.29212,3308.862446,3479.934502,3292.584141,3402.648136
3513.625139,3327.67371,3523.870282,3695.329389,3442.437246,3593.08972,3285.685099,3543.485503,3386.183426,3465.131513,3513.625139,3327.67371,3523.870282,3695.329389,3442.437246,3593.08972,3285.685099,3543.485503,3386.183426,3465.131513
3861.796786,3879.765341,3772.860331,3855.191418,3807.628059,4019.126878,3832.435939,3735.533947,3699.277707,3909.28192,3861.796786,3879.765341,3772.860331,3855.191418,3807.628059,4019.126878,3832.435939,3735.533947,3699.277707,3909.28192
4127.21891,4064.296187,4063.604088,4073.000615,3889.784915,4157.208531,4263.019526,4224.076026,3946.71188,4044.612518,4127.21891,4064.296187,4063.604088,4073.000615,3889.784915,4157.208531,4263.019526,4224.076026,3946.71188,4044.612518
